RANK,PLAYER,Position,Passing_Yards,Passing_Touchdowns,Passing_INT,Rushing_Carry,Rushing_Yards,Rushing_Touchdowns,Receiving_Receptions,Receiving_Yards,Receiving_Touchdowns,Fantasy_Pts_Total,Fantasy_Pts_Average
85,Diontae Johnson,WR,0.0,0.0,0.0,6.0,23.0,0.0,76.0,823.0,3.0,179.9,10.6
86,David Montgomery,RB,0.0,0.0,0.0,171.0,641.0,6.0,40.0,360.0,1.0,178.6,10.5
87,Mike Williams,WR,0.0,0.0,0.0,0.0,0.0,0.0,60.0,871.0,5.0,176.7,10.4
88,Brandon Aiyuk,WR,0.0,0.0,0.0,2.0,23.0,0.0,58.0,801.0,6.0,176.2,10.4
89,Breece Hall,RB,0.0,0.0,0.0,140.0,706.0,5.0,32.0,370.0,2.0,175.4,10.3
90,Kenneth Walker III,RB,0.0,0.0,0.0,206.0,866.0,9.0,24.0,151.0,0.0,174.7,10.3
91,Dallas Goedert,TE,0.0,0.0,0.0,0.0,0.0,0.0,66.0,800.0,5.0,173.9,10.2
92,J.K. Dobbins,RB,0.0,0.0,0.0,158.0,794.0,6.0,24.0,195.0,3.0,172.9,10.2
93,Jahan Dotson,WR,0.0,0.0,0.0,2.0,-7.0,0.0,51.0,805.0,7.0,172.9,10.2
94,Brandin Cooks,WR,0.0,0.0,0.0,3.0,14.0,0.0,61.0,782.0,5.0,172.5,10.1
95,Darren Waller,TE,0.0,0.0,0.0,0.0,0.0,0.0,67.0,756.0,5.0,171.8,10.1
96,Tyler Lockett,WR,0.0,0.0,0.0,0.0,1.0,0.0,63.0,773.0,5.0,170.8,10.0
97,Rachaad White,RB,0.0,0.0,0.0,170.0,621.0,3.0,55.0,331.0,2.0,170.5,10.0
98,George Pickens,WR,0.0,0.0,0.0,3.0,19.0,1.0,48.0,759.0,6.0,169.1,9.9
99,Miles Sanders,RB,0.0,0.0,0.0,228.0,1042.0,5.0,26.0,125.0,0.0,167.8,9.9
100,Javonte Williams,RB,0.0,0.0,0.0,158.0,748.0,3.0,46.0,267.0,1.0,166.3,9.8
101,Jaxon Smith-Njigba,WR,0.0,0.0,0.0,2.0,10.0,0.0,59.0,848.0,4.0,165.6,9.7
102,Alvin Kamara,RB,0.0,0.0,0.0,171.0,692.0,3.0,38.0,344.0,2.0,163.0,11.6
103,D'Andre Swift,RB,0.0,0.0,0.0,113.0,614.0,5.0,34.0,281.0,2.0,162.4,9.6
104,JuJu Smith-Schuster,WR,0.0,0.0,0.0,0.0,1.0,0.0,70.0,743.0,3.0,162.4,9.6
105,Michael Thomas,WR,0.0,0.0,0.0,1.0,1.0,0.0,54.0,639.0,7.0,162.2,9.5
106,Zay Flowers,WR,0.0,0.0,0.0,2.0,13.0,0.0,51.0,790.0,5.0,158.5,9.3
