RANK,PLAYER,Position,Passing_Yards,Passing_Touchdowns,Passing_INT,Rushing_Carry,Rushing_Yards,Rushing_Touchdowns,Receiving_Receptions,Receiving_Yards,Receiving_Touchdowns,Fantasy_Pts_Total,Fantasy_Pts_Average,,,,,,,,,,,
58,George Kittle,TE,0,0,0,0,0,0,65,801.00,7,187.10,11.01,,,,,,,,,,,
59,David Montgomery,RB,0,0,0,190,805,7,29,204.00,1,177.90,10.46,,,,,,,,,,,
60,Joe Burrow,QB,4584,34,14,44,230,3,0,0.00,0,414.36,24.37,,,,,,,,,,,
61,Christian Watson,WR,0,0,0,7,45,0,66,973.00,6,203.80,11.99,,,,,,,,,,,
62,James Conner,RB,0,0,0,275,1091,8,40,303.00,1,233.40,13.73,,,,,,,,,,,
63,Chris Godwin,WR,0,0,0,2,10.00,0,92.00,1001.00,6,229.1,13.48,,,,,,,,,,,
64,Michael Pittman,WR,0,0,0,7,33.00,0,92.00,1021.00,5,227.4,13.38,,,,,,,,,,,
65,Kyle Pitts,TE,0,0,0,0,0.00,0,64.00,767.00,5,170.7,10.04,,,,,,,,,,,
66,Dalvin Cook,RB,0,0,0,205,890.00,7,34.00,252.00,1,196.2,11.54,,,,,,,,,,,
67,Javonte Williams,RB,0,0,0,231,992.00,8,38.00,279.00,1,219.1,12.89,,,,,,,,,,,
68,Dallas Goedert,TE,0,0,0,0,0.00,0,63.00,722.00,6,171.2,10.07,,,,,,,,,,,
69,Mike Williams,WR,0,0,0,1,7.00,0,70.00,1045.00,7,217.2,12.78,,,,,,,,,,,
70,Trevor Lawrence,QB,4254,30,13,60,274.00,3,0.00,0.00,0,382.56,22.50,,,,,,,,,,,
71,Marquise Brown,WR,0,0,0,3,19.00,0,72.00,869.00,6,196.8,11.58,,,,,,,,,,,
72,Jahan Dotson,WR,0,0,0,0,0.00,0,60.00,846.00,6,180.6,10.62,,,,,,,,,,,
73,Mike Evans,WR,0,0,0,1,6.00,0,73.00,1016.00,7,217.2,12.78,,,,,,,,,,,
